GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSA,CBSAA,CSA,CSAA,METDIV,METDIVA,NECTA,NECTAA,CNECTA,CNECTAA,NECTADIV,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELM,SDELMA,SDSEC,SDSECA,SDUNI,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,UEPE001,UEQE001,UEQE002,UEQE003,UEQE004,UEQE005,UEQE006,UEQE007,UEQE008,UEQE009,UEQE010,UEZE001,UEZE002,UEZE003,UGSE001,UGSE002,UGSE003,UGSE004,UGSE005,UGSE006,UGSE007,UGSE008,UGSE009,UGSE010,UGSE011,UGSE012,UGSE013,UGSE014,UGSE015,UGSE016,UGSE017,UGSE018,UGSE019,UGSE020,UGSE021,UGSE022,UGSE023,UGSE024,UGSE025,UG7E001,UG7E002,UG7E003,UG7E004,UG7E005,UG7E006,UG7E007,UG7E008,UILE001,UJAE001,UJ8E001,UJ8E002,UJ8E003,UJ8E004,UJ8E005,UJ8E006,UJ8E007,NAME_M,UEPM001,UEQM001,UEQM002,UEQM003,UEQM004,UEQM005,UEQM006,UEQM007,UEQM008,UEQM009,UEQM010,UEZM001,UEZM002,UEZM003,UGSM001,UGSM002,UGSM003,UGSM004,UGSM005,UGSM006,UGSM007,UGSM008,UGSM009,UGSM010,UGSM011,UGSM012,UGSM013,UGSM014,UGSM015,UGSM016,UGSM017,UGSM018,UGSM019,UGSM020,UGSM021,UGSM022,UGSM023,UGSM024,UGSM025,UG7M001,UG7M002,UG7M003,UG7M004,UG7M005,UG7M006,UG7M007,UG7M008,UILM001,UJAM001,UJ8M001,UJ8M002,UJ8M003,UJ8M004,UJ8M005,UJ8M006,UJ8M007
"G0801090","2009-2013",,,,,"Colorado","08","Saguache County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saguache County, Colorado",6200,6200,5102,18,98,33,0,619,330,80,250,6200,3699,2501,4297,72,0,0,3,16,24,25,14,165,44,108,118,160,147,48,914,181,313,697,225,623,320,39,41,6138,582,936,534,519,564,181,2822,0.4735,20726,4936,3121,3121,2819,302,0,1815,"Saguache County, Colorado",0,0,181,31,55,27,17,164,132,79,107,0,0,0,78,38,17,17,6,14,19,25,15,63,20,40,64,52,49,30,145,61,83,112,65,119,104,26,29,38,157,245,192,176,219,119,282,0.0395,1977,29,132,132,145,82,17,132
"G0801110","2009-2013",,,,,"Colorado","08","San Juan County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Juan County, Colorado",659,659,606,0,5,9,0,25,14,0,14,659,531,128,501,0,0,0,0,0,0,0,0,0,0,8,0,5,15,0,134,18,39,121,37,96,26,0,2,659,38,75,41,82,30,26,367,0.3596,24711,588,460,460,377,83,0,128,"San Juan County, Colorado",106,106,110,12,8,14,12,26,21,12,21,106,102,65,84,12,12,12,12,12,12,12,12,12,12,11,12,9,17,12,44,15,33,49,24,30,24,12,3,106,31,77,29,57,17,29,89,0.0432,4097,96,79,79,81,40,12,50
"G0801130","2009-2013",,,,,"Colorado","08","San Miguel County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Miguel County, Colorado",7496,7496,7238,12,20,89,0,12,125,7,118,7496,6821,675,5517,0,0,0,0,0,0,0,0,21,24,23,44,29,36,39,977,53,182,893,243,2173,531,159,90,7471,347,446,284,375,289,144,5586,0.5098,40827,6139,4879,4879,4581,298,0,1260,"San Miguel County, Colorado",0,0,28,19,15,49,17,15,54,11,52,0,0,0,81,17,17,17,17,17,17,17,17,19,26,26,34,20,36,31,167,24,65,187,76,230,117,71,76,20,179,156,127,155,118,90,299,0.0510,5744,68,149,149,187,100,17,135
"G0801150","2009-2013",,,,,"Colorado","08","Sedgwick County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sedgwick County, Colorado",2376,2376,2204,7,7,15,0,29,114,9,105,2376,2017,359,1623,5,0,0,0,0,0,11,2,6,29,45,24,66,5,22,478,86,203,245,152,185,45,3,11,2338,100,341,119,123,220,12,1423,0.4272,21536,1920,1147,1147,1034,113,0,773,"Sedgwick County, Colorado",0,0,53,8,8,17,12,21,46,11,45,0,96,96,93,7,12,12,12,12,12,14,3,7,25,24,13,44,5,13,73,28,54,53,38,41,20,4,10,42,47,101,67,39,66,9,111,0.0265,1482,76,76,76,81,43,12,79
"G0801170","2009-2013",,,,,"Colorado","08","Summit County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summit County, Colorado",28091,28091,25054,204,225,250,82,1843,433,150,283,28091,24104,3987,20334,0,0,0,0,61,36,50,41,118,45,151,39,99,94,131,2931,385,942,3920,1598,6576,2197,337,583,27961,2228,1608,590,612,2803,897,19223,0.4256,34025,23708,18753,18753,17593,1160,0,4955,"Summit County, Colorado",0,0,685,154,250,141,101,648,265,184,191,0,0,0,353,22,22,22,22,96,61,71,64,159,47,111,39,99,73,133,528,151,301,492,306,631,380,127,222,72,802,620,241,265,877,500,1117,0.0265,2164,118,480,480,578,307,22,493
"G0801190","2009-2013",,,,,"Colorado","08","Teller County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Teller County, Colorado",23276,23276,21938,208,112,229,22,333,434,22,412,23276,21948,1328,17333,95,0,0,0,4,0,15,0,27,17,66,99,364,258,169,3781,517,1491,3195,1756,3064,1920,272,223,22985,763,851,711,856,1658,586,17560,0.4061,31075,19393,12395,12276,10990,1286,119,6998,"Teller County, Colorado",0,0,182,108,81,78,39,161,141,33,139,0,0,0,139,72,22,22,22,8,22,24,22,32,28,88,64,203,107,84,450,153,270,425,288,399,334,135,93,77,217,282,323,314,518,274,748,0.0267,1650,162,410,425,483,301,92,403
"G0801210","2009-2013",,,,,"Colorado","08","Washington County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Colorado",4796,4796,4623,30,20,15,0,35,73,22,51,4796,4360,436,3377,29,0,0,0,0,5,0,0,22,0,52,56,54,72,33,1034,203,283,553,356,463,143,15,4,4576,299,299,112,313,349,176,3028,0.4333,24977,3889,2336,2336,2227,109,0,1553,"Washington County, Colorado",0,0,38,32,20,22,12,27,24,18,16,0,0,0,31,20,12,12,12,12,9,12,12,13,12,28,32,26,28,17,95,64,54,89,71,80,32,11,6,114,109,90,45,102,103,72,183,0.0248,1731,41,108,108,108,40,12,124
"G0801230","2009-2013",,,,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weld County, Colorado",258780,258780,225083,2535,2538,3445,126,17858,7195,2113,5082,258780,185408,73372,159896,1617,13,69,97,216,817,426,549,3165,808,2761,2652,3064,3684,3047,35121,7200,12379,26616,14144,28431,9788,1605,1627,252116,17638,19458,12518,11266,17727,7146,166363,0.4248,25468,194852,132288,132142,121383,10759,146,62564,"Weld County, Colorado",0,0,1822,229,460,210,57,1716,951,481,807,0,0,0,164,273,22,97,65,106,179,137,199,477,213,407,374,451,473,470,1112,622,645,1001,728,1020,609,264,239,619,1684,1490,1609,1204,1903,1067,2815,0.0088,446,280,1404,1403,1350,821,69,1413
"G0801250","2009-2013",,,,,"Colorado","08","Yuma County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Colorado",10093,10093,9416,3,16,26,0,312,320,35,285,10093,7972,2121,6725,39,0,0,0,0,30,15,0,122,28,193,141,22,132,84,1936,348,460,1397,591,900,248,39,0,9949,341,477,421,711,1036,331,6632,0.4192,22498,7706,4952,4952,4772,180,0,2754,"Yuma County, Colorado",0,0,233,6,19,20,19,183,174,44,171,0,0,0,115,50,19,19,19,19,45,17,19,83,19,90,94,19,71,46,243,125,131,202,132,170,96,36,19,64,145,209,205,260,344,170,459,0.0279,1518,84,248,248,248,87,19,247
"G0900010","2009-2013",,,,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield County, Connecticut",926233,926233,694586,102414,1817,43734,298,62879,20505,5752,14753,926233,765178,161055,624597,5863,35,85,325,1204,2233,2353,2469,7806,2806,8250,7767,8718,8803,9788,128419,13760,27235,70100,36887,157861,90028,22662,9140,908123,38188,44770,26018,28396,39613,14517,716621,0.5391,48721,727258,498574,498344,449106,49238,230,228684,"Fairfield County, Connecticut",0,0,3118,1289,459,825,116,3104,1447,855,1201,0,0,0,140,609,29,59,123,334,440,385,380,866,408,728,674,650,665,705,2741,791,979,1823,1459,2402,1729,919,594,945,2169,2447,1682,2167,2534,1484,4282,0.0036,559,703,2436,2425,2437,1519,124,2616
"G0900030","2009-2013",,,,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford County, Connecticut",895827,895827,652952,118531,2036,40196,375,54701,27036,7688,19348,895827,754356,141471,614011,6945,97,41,200,836,1658,2325,2435,4700,3493,7361,9784,11300,12050,9540,147783,22234,34485,75667,46875,121398,66157,18819,7828,870674,46334,54613,28001,29038,44478,17344,650866,0.4682,34698,719208,486537,486062,435942,50120,475,232671,"Hartford County, Connecticut",0,0,2593,1326,479,603,76,2652,1517,894,1409,0,0,0,76,546,58,32,86,238,308,398,287,565,474,474,688,824,753,621,2318,1053,1059,1781,1308,2168,1716,762,516,1093,2541,2430,2218,1858,2028,1400,4421,0.0041,321,577,2345,2336,2488,1686,180,2461
"G0900050","2009-2013",,,,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Litchfield County, Connecticut",188629,188629,177287,2331,333,3331,0,2385,2962,287,2675,188629,179675,8954,135867,867,29,7,26,23,150,196,222,573,323,1513,1397,2231,2345,1966,36044,4050,8615,18113,11802,27006,13831,3245,1293,185973,5983,5987,4066,5019,8667,3809,152442,0.4413,37667,154784,108309,108281,99302,8979,28,46475,"Litchfield County, Connecticut",0,0,624,249,143,147,28,603,356,119,351,0,0,0,149,204,32,10,32,20,73,85,126,174,139,248,255,300,336,247,1255,438,598,729,682,1050,744,334,217,313,606,828,639,717,895,713,1602,0.0118,1015,198,892,891,1030,642,29,845
"G0900070","2009-2013",,,,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlesex County, Connecticut",165690,165690,147489,7794,91,4431,54,2072,3759,392,3367,165690,157364,8326,118122,710,8,0,61,0,137,54,217,203,192,837,950,1326,1251,1386,29830,3743,6496,14752,9792,25947,15483,2705,2042,160116,4929,5278,3129,4928,5731,2217,133904,0.4333,39992,135953,92913,92713,86214,6499,200,43040,"Middlesex County, Connecticut",0,0,665,415,66,226,62,542,514,165,500,0,0,0,133,198,13,28,63,28,81,37,78,106,79,187,182,254,223,280,1178,436,462,819,596,949,681,320,350,408,649,787,613,799,812,429,1575,0.0091,918,242,1134,1137,1114,572,109,1120
"G0900090","2009-2013",,,,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven County, Connecticut",862611,862611,649673,108359,2255,31436,391,48987,21510,5844,15666,862611,728539,134072,587014,6412,12,85,266,760,1442,1619,1583,4659,2692,8244,8181,11768,11133,9904,159722,19131,32700,71646,41678,104413,60597,16425,11942,836211,48230,55369,29049,28592,40257,17848,616866,0.4625,32523,697215,468420,467920,418622,49298,500,228795,"New Haven County, Connecticut",0,0,2909,1591,674,695,82,2830,1525,796,1349,0,0,0,96,663,20,61,114,224,282,331,296,594,356,705,662,821,914,779,2620,878,1263,1723,1362,1948,1552,923,810,1276,2685,3164,2060,2318,2148,1765,4447,0.0046,271,645,2199,2196,2366,1413,177,2318
"G0900110","2009-2013",,,,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New London County, Connecticut",274090,274090,225906,15242,1626,11882,148,8190,11096,1532,9564,274090,249665,24425,188245,1500,0,51,39,59,125,189,264,669,580,2105,2358,3660,3520,2809,51347,6814,11921,26162,15168,32343,19886,3785,2891,261637,9817,12955,7326,8357,12905,4883,205394,0.4253,33782,222737,152313,145503,132657,12846,6810,70424,"New London County, Connecticut",0,0,1086,742,402,399,102,906,979,484,798,0,0,0,124,265,28,61,39,51,90,106,106,185,142,296,361,414,356,365,1437,600,556,1059,830,1054,757,393,303,538,1185,1371,904,1201,1266,757,2361,0.0063,509,312,1108,1174,1287,822,331,1125
"G0900130","2009-2013",,,,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tolland County, Connecticut",152366,152366,136835,4624,130,5367,15,1627,3768,179,3589,152366,145442,6924,96183,467,0,17,6,18,42,89,49,221,150,851,798,1256,1538,1192,22618,3589,5603,12129,10104,18814,12198,2122,2312,137062,4390,4560,2162,3434,5194,2156,115166,0.3934,34392,126299,86039,85914,79479,6435,125,40260,"Tolland County, Connecticut",0,0,367,357,55,241,20,390,495,89,485,0,0,0,236,164,28,21,12,23,59,63,37,173,70,204,199,232,247,221,995,383,539,778,704,760,759,274,367,973,536,820,446,687,905,477,1689,0.0087,640,224,1115,1116,1132,568,85,1093
"G0900150","2009-2013",,,,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windham County, Connecticut",118115,118115,107826,2373,482,1332,23,2604,3475,402,3073,118115,106403,11712,79722,836,17,6,13,80,51,67,172,505,459,1794,1117,2056,1898,1482,24554,4732,5374,10471,6291,10342,5482,981,942,113459,6076,6869,4874,4113,5894,2806,82827,0.4147,27893,95696,65618,65384,58090,7294,234,30078,"Windham County, Connecticut",0,0,702,282,220,177,37,593,442,185,386,0,0,0,104,263,26,14,16,82,38,56,89,188,164,312,284,350,349,252,1079,544,529,703,531,643,471,199,180,505,821,933,862,655,824,613,1505,0.0098,553,193,850,876,937,478,129,829
"G1000010","2009-2013",,,,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kent County, Delaware",165030,165030,112559,39802,1068,3373,237,2138,5853,407,5446,165030,154968,10062,106475,1235,2,34,25,54,200,169,345,558,494,2056,1800,3329,3450,1996,31126,4570,7200,16131,8924,14218,6600,1082,877,160007,10237,10483,7128,7660,11191,4166,109142,0.4046,24851,128715,82341,79496,71671,7825,2845,46374,"Kent County, Delaware",0,0,644,825,290,294,197,491,819,235,813,0,0,0,125,263,4,46,28,38,140,104,169,180,183,370,313,392,356,304,1131,495,560,732,574,862,499,235,207,644,1289,1143,992,1046,1521,1144,2398,0.0094,547,273,982,1016,976,555,356,1017
"G1000030","2009-2013",,,,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Castle County, Delaware",542784,542784,361966,130133,1251,25007,295,11817,12315,1789,10526,542784,494483,48301,359765,3443,49,37,199,429,607,465,665,2099,1389,3542,5085,7557,7798,4936,94362,10488,22158,48644,24364,71606,34637,8003,7203,525936,27862,28632,17579,20610,32265,8906,390082,0.4475,32406,433122,288705,288291,263522,24769,414,144417,"New Castle County, Delaware",0,0,1454,983,276,450,271,1183,1097,450,942,0,0,0,79,456,43,31,112,191,161,133,213,387,303,393,571,570,713,469,2029,759,992,1393,1086,1536,1317,632,478,874,2109,1990,1651,2052,2036,975,3110,0.0047,377,490,1794,1776,1749,985,140,1795
"G1000050","2009-2013",,,,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sussex County, Delaware",200632,200632,160949,25029,691,2042,35,6988,4898,522,4376,200632,182888,17744,145488,1683,1,25,48,414,379,272,333,1719,841,1809,2898,3898,4577,2019,47388,5943,9420,18354,11156,19284,9246,2116,1665,197061,11806,14613,8723,9979,14685,5357,131898,0.4275,26908,164527,95650,95429,86816,8613,221,68877,"Sussex County, Delaware",0,0,1344,604,221,190,30,1365,569,189,541,0,0,0,77,356,3,38,46,186,164,94,141,406,249,330,457,404,484,234,1106,524,593,969,710,853,604,253,250,511,1039,1455,1201,1210,1229,954,2805,0.0071,535,256,1122,1123,1408,715,89,1154
"G1100010","2009-2013",,,,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia, District of Columbia",619371,619371,248141,310530,1990,21845,233,22165,14467,1974,12493,619371,559892,59479,430307,4818,37,69,239,663,966,1112,1235,3170,2996,3589,6063,7721,10693,6422,69105,11858,14613,46697,12958,97641,74657,36137,16848,585525,61131,48069,22084,22353,25655,12085,394148,0.5303,45290,525070,357458,354171,315177,38994,3287,167612,"District of Columbia, District of Columbia",0,0,1668,1167,315,525,94,1887,946,361,939,0,0,0,95,525,38,59,121,230,243,288,265,462,441,467,603,603,817,503,1788,773,794,1515,785,2103,1781,1270,788,211,2824,2656,1720,1957,1904,1341,3999,0.0048,650,395,2354,2347,2349,1294,266,2381
"G1200010","2009-2013",,,,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alachua County, Florida",249848,249848,174974,50198,563,13794,178,2811,7330,1347,5983,249848,228367,21481,147203,1437,45,14,11,133,149,176,247,475,608,1377,1311,2503,2877,1556,26051,5270,8334,19458,15536,30900,15323,6139,7273,234919,38067,20429,9964,9758,17049,5832,133820,0.5170,24857,210078,125088,124943,114147,10796,145,84990,"Alachua County, Florida",0,0,715,595,136,376,20,526,639,328,574,0,0,0,67,604,64,17,13,137,90,232,136,161,204,349,284,372,419,237,1227,467,632,1079,772,1111,889,568,635,1346,1903,1703,1268,1072,1605,954,2517,0.0099,675,359,1962,1971,1900,828,83,1957
"G1200030","2009-2013",,,,,"Florida","12","Baker County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baker County, Florida",27069,27069,22758,3772,50,146,0,78,265,16,249,27069,26483,586,17477,91,0,5,4,0,5,31,21,120,215,596,519,693,932,238,6823,1409,1108,1798,1127,1040,557,38,107,24530,1677,2575,1204,1181,1514,632,15747,0.4155,19852,20891,11312,11312,10023,1289,0,9579,"Baker County, Florida",0,0,86,146,58,27,25,84,135,24,130,0,0,0,166,63,25,10,7,25,11,32,25,82,110,205,173,171,270,121,603,280,236,352,264,250,195,43,75,362,511,679,434,574,564,401,979,0.0246,1287,155,502,502,593,333,25,505
"G1200050","2009-2013",,,,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bay County, Florida",170704,170704,140914,17593,971,3525,118,655,6928,656,6272,170704,162130,8574,117483,1318,13,9,32,33,207,132,115,621,545,1439,2096,3619,3068,2048,28889,7497,10346,18618,12050,16284,6487,1281,736,166901,10946,13637,7625,9671,12870,5121,107031,0.4234,24498,137875,87451,84644,76287,8357,2807,50424,"Bay County, Florida",0,0,503,621,242,326,83,218,847,257,807,0,0,0,113,356,19,15,29,49,118,82,73,243,168,280,440,467,468,329,1287,624,732,966,866,977,670,227,201,573,1319,1484,1138,1370,1357,1038,2629,0.0073,523,287,1196,1189,1278,756,330,1208
"G1200070","2009-2013",,,,,"Florida","12","Bradford County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradford County, Florida",27981,27981,21560,5525,70,190,6,24,606,76,530,27981,26956,1025,20081,258,0,0,0,26,54,38,139,88,253,445,757,1394,1175,293,5626,1783,1410,2966,1538,1200,451,125,62,24142,2006,2398,1362,1529,3374,535,12938,0.4435,17749,23132,11204,11188,9434,1754,16,11928,"Bradford County, Florida",0,0,89,301,51,144,11,22,242,77,235,0,0,0,179,146,25,25,25,35,40,32,112,55,153,129,154,200,278,119,510,299,293,438,231,320,143,58,53,338,509,618,483,491,861,263,1082,0.0220,1056,107,477,479,590,335,23,475
"G1200090","2009-2013",,,,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brevard County, Florida",545667,545667,456026,54822,1748,11438,407,6929,14297,1868,12429,545667,499497,46170,396372,3437,77,46,112,304,308,365,512,1740,1218,3247,4188,7134,8499,7727,99324,17919,33284,60053,42750,64518,29586,5691,4333,538138,31584,40950,24856,26411,41427,14043,358867,0.4437,27009,454123,260345,258800,226768,32032,1545,193778,"Brevard County, Florida",0,0,1507,1050,338,590,110,1189,1228,464,1098,0,0,0,239,570,74,58,91,158,175,202,199,511,294,453,505,673,778,728,2255,1110,1176,1972,1594,2091,1354,673,494,615,2176,2371,2040,2344,2855,1600,3835,0.0047,347,531,1964,2001,2157,1372,264,2100
"G1200110","2009-2013",,,,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broward County, Florida",1784889,1784889,1129974,484677,3858,59768,1056,60906,44650,10931,33719,1784889,1323497,461392,1238034,17659,289,332,704,1748,3291,3545,5793,12892,5503,13105,15086,19574,23061,28376,304285,39963,68137,192287,112440,238066,88582,29989,13327,1769326,109669,142483,93161,92603,128913,52206,1150291,0.4769,28205,1437782,966642,965410,850199,115211,1232,471140,"Broward County, Florida",0,0,4211,2212,587,1202,258,3935,2656,1108,2221,0,0,0,74,1101,186,152,236,379,600,737,861,1145,723,978,1227,1279,1389,1295,3746,1727,2158,3265,2396,4033,2285,1283,1006,1107,3557,5352,4510,4675,4824,3508,8979,0.0038,252,880,3832,3837,4266,2599,276,3951
"G1200130","2009-2013",,,,,"Florida","12","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Florida",14700,14700,12020,2088,236,42,0,155,159,0,159,14700,13915,785,10382,158,0,0,3,11,14,29,61,134,212,366,658,379,538,192,2974,1111,764,1375,595,582,208,18,0,12589,1282,1674,1569,691,1106,247,6020,0.4313,14675,11909,4896,4886,4387,499,10,7013,"Calhoun County, Florida",0,0,72,79,28,46,21,70,61,21,61,0,0,0,108,78,21,21,5,11,17,35,42,65,79,104,213,94,151,84,290,188,158,231,187,139,93,23,21,296,496,403,549,251,369,140,668,0.0387,1389,64,431,431,402,135,17,443
"G1200150","2009-2013",,,,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlotte County, Florida",161276,161276,146266,9192,349,1898,9,760,2802,205,2597,161276,151407,9869,129515,1092,0,13,35,0,85,230,204,598,265,1811,1634,2657,2737,3190,37995,6665,11437,19777,11578,17498,7156,2190,668,157965,9226,10653,7665,7915,11844,4857,105805,0.4324,26286,141882,62592,62556,53974,8582,36,79290,"Charlotte County, Florida",0,0,397,415,127,203,15,255,448,125,461,0,0,0,197,253,32,19,46,32,78,109,156,188,111,318,341,411,438,404,1332,639,789,961,868,1118,615,383,176,402,986,1091,1001,889,1308,815,2204,0.0138,689,213,1167,1167,1302,738,48,1186
"G1200170","2009-2013",,,,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus County, Florida",140214,140214,130835,4184,545,2131,12,725,1782,331,1451,140214,133504,6710,110076,1330,0,0,20,73,8,35,110,406,533,1741,1818,3479,3449,2412,34432,7413,9352,16171,9065,11797,4420,1453,559,137597,9933,13129,8063,7531,10117,4443,84381,0.4404,23148,121243,51945,51932,43751,8181,13,69298,"Citrus County, Florida",0,0,399,314,174,102,22,343,383,195,323,0,0,0,232,285,32,32,22,68,11,41,67,162,253,378,409,495,475,387,1291,668,792,975,754,886,453,322,165,514,1174,1168,1005,1235,1049,942,2458,0.0138,722,276,1155,1156,1212,760,14,1170
"G1200190","2009-2013",,,,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Florida",192665,192665,158978,19434,676,5852,121,2221,5383,772,4611,192665,177022,15643,126548,783,0,0,86,77,276,48,60,488,495,1100,1635,2360,2659,2385,30314,6375,11076,22582,13327,20761,7738,1260,663,190917,8727,9925,7442,9753,10949,5665,138456,0.4043,26577,149894,97780,95704,84902,10802,2076,52114,"Clay County, Florida",0,0,717,542,202,468,117,592,769,274,738,0,0,0,155,180,32,32,92,81,314,42,52,196,160,285,391,469,416,422,1245,846,771,1260,891,1073,709,253,226,364,1276,1137,1277,1736,1545,1136,3011,0.0125,677,413,1279,1354,1314,984,419,1286
"G1200210","2009-2013",,,,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collier County, Florida",328209,328209,287351,22168,901,4115,38,9558,4078,1148,2930,328209,242809,85400,242723,4675,44,48,480,828,1147,952,1802,4413,1106,2824,4326,3982,3774,4185,60177,6586,13635,32912,17860,46645,18761,8230,3331,324845,20038,25768,15009,20126,24351,7480,212073,0.5306,36439,272930,147058,147044,132180,14864,14,125872,"Collier County, Florida",0,0,1828,495,283,171,39,1776,723,469,582,0,0,0,175,745,51,39,280,335,312,254,461,910,309,550,679,577,516,496,2029,693,934,1504,1119,1799,912,649,434,727,2190,2006,2022,2331,2311,1519,3016,0.0099,1038,403,1877,1879,2167,1232,17,1888
"G1200230","2009-2013",,,,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Florida",67568,67568,52384,11891,313,502,0,813,1665,153,1512,67568,64133,3435,45346,511,8,0,0,9,66,162,73,321,437,909,1265,1321,2175,641,12321,3430,3720,7828,4135,3634,1732,439,209,63589,4534,8053,3460,4134,6627,1868,34913,0.4366,19306,54220,30243,30091,24435,5656,152,23977,"Columbia County, Florida",0,0,274,272,112,114,32,257,337,110,306,0,0,0,342,139,13,32,32,13,63,104,55,185,242,269,254,230,392,184,728,370,473,656,496,397,299,166,102,306,823,1155,747,808,1184,552,1443,0.0162,733,215,877,879,1016,660,100,845
"G1200270","2009-2013",,,,,"Florida","12","DeSoto County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeSoto County, Florida",34651,34651,28461,4575,61,193,0,950,411,212,199,34651,24266,10385,23197,732,56,0,70,115,417,237,202,858,265,491,952,944,947,369,7178,2028,1277,2563,1040,1633,587,169,67,32405,4014,5588,2191,3346,2542,796,13928,0.4177,15088,28010,13701,13693,11969,1724,8,14309,"DeSoto County, Florida",0,0,399,85,35,46,29,344,195,190,69,0,0,0,316,411,55,29,97,128,215,153,127,284,157,169,263,229,236,142,587,321,216,329,241,278,182,141,46,238,816,882,688,915,594,248,927,0.0189,809,117,691,691,678,351,12,669
"G1200290","2009-2013",,,,,"Florida","12","Dixie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dixie County, Florida",16234,16234,14218,1405,46,155,0,34,376,51,325,16234,15846,388,11850,112,0,0,0,5,41,0,27,106,86,228,355,751,481,355,3517,1074,1002,1988,730,675,264,43,10,15176,1052,1589,1108,1559,1406,423,8039,0.4053,16851,13345,5724,5724,5207,517,0,7621,"Dixie County, Florida",0,0,121,183,27,158,21,38,125,52,109,0,141,141,150,83,21,21,21,9,41,21,36,77,75,89,99,204,159,183,387,272,216,344,226,225,145,45,15,164,355,370,345,430,387,256,775,0.0304,1176,74,514,514,545,178,21,505
